MONTH,CATEGORY,VOLUME_USD,VOLUME_USD_BILLIONS
2024-09-01T00:00:00.000Z,NFT Sales,132498748.280462,0.1324987483
2024-09-01T00:00:00.000Z,Token Transfers,25776545644.65,25.776545645
2024-10-01T00:00:00.000Z,Bridge Activity,4003268155.74,4.003268156
2024-10-01T00:00:00.000Z,DEX Trading,38977704868.35,38.977704868
2024-10-01T00:00:00.000Z,Lending Borrows,8318550916.33,8.318550916
2024-10-01T00:00:00.000Z,Lending Deposits,41084855172.21,41.084855172
2024-10-01T00:00:00.000Z,Liquidations,11881593.23,0.01188159323
2024-10-01T00:00:00.000Z,NFT Sales,207943684.716649,0.2079436847
2024-10-01T00:00:00.000Z,Token Transfers,30469287314.02,30.469287314
2024-11-01T00:00:00.000Z,Bridge Activity,6218294705.87,6.218294706
2024-11-01T00:00:00.000Z,DEX Trading,65725488562.33,65.725488562
2024-11-01T00:00:00.000Z,Lending Borrows,14692175015.7,14.692175016
2024-11-01T00:00:00.000Z,Lending Deposits,49784322975.41,49.784322975
2024-11-01T00:00:00.000Z,Liquidations,15667426.3,0.0156674263
2024-11-01T00:00:00.000Z,NFT Sales,290833586.059866,0.2908335861
2024-11-01T00:00:00.000Z,Token Transfers,37288567905.65,37.288567906
2024-12-01T00:00:00.000Z,Bridge Activity,6869141750.37,6.86914175
2024-12-01T00:00:00.000Z,DEX Trading,69141110387.38,69.141110387
2024-12-01T00:00:00.000Z,Lending Borrows,16763524866.67,16.763524867
2024-12-01T00:00:00.000Z,Lending Deposits,57197980702.78,57.197980703
2024-12-01T00:00:00.000Z,Liquidations,54258868.9600001,0.05425886896
2024-12-01T00:00:00.000Z,NFT Sales,1104275804.95087,1.104275805
2024-12-01T00:00:00.000Z,Token Transfers,39584722904.53,39.584722905
2025-01-01T00:00:00.000Z,Bridge Activity,6963476845.94,6.963476846
2025-01-01T00:00:00.000Z,DEX Trading,63630421577.27,63.630421577
2025-01-01T00:00:00.000Z,Lending Borrows,11968979022.61,11.968979023
2025-01-01T00:00:00.000Z,Lending Deposits,62702102227.22,62.702102227
2025-01-01T00:00:00.000Z,Liquidations,69254902.9600001,0.06925490296
2025-01-01T00:00:00.000Z,NFT Sales,680369486.308285,0.6803694863
2025-01-01T00:00:00.000Z,Token Transfers,35129399422.0001,35.129399422
2025-02-01T00:00:00.000Z,Bridge Activity,8440968103.85,8.440968104
2025-02-01T00:00:00.000Z,DEX Trading,54810488694.7,54.810488695
2025-02-01T00:00:00.000Z,Lending Borrows,11450602967.92,11.450602968
2025-02-01T00:00:00.000Z,Lending Deposits,68748555161.41,68.748555161
2025-02-01T00:00:00.000Z,Liquidations,501558760.539999,0.5015587605
2025-02-01T00:00:00.000Z,NFT Sales,378565787.116894,0.3785657871
2025-02-01T00:00:00.000Z,Token Transfers,31034087952.93,31.034087953
2025-03-01T00:00:00.000Z,Bridge Activity,5775693484.91,5.775693485
2025-03-01T00:00:00.000Z,DEX Trading,40001234219.38,40.001234219
2025-03-01T00:00:00.000Z,Lending Borrows,10999473186.98,10.999473187
2025-03-01T00:00:00.000Z,Lending Deposits,82968907059.5598,82.96890706
2025-03-01T00:00:00.000Z,Liquidations,134509226.41,0.1345092264
2025-03-01T00:00:00.000Z,NFT Sales,159837756.080452,0.1598377561
2025-03-01T00:00:00.000Z,Token Transfers,29138110116.7301,29.138110117
2025-04-01T00:00:00.000Z,Bridge Activity,6215454494,6.215454494
2025-04-01T00:00:00.000Z,DEX Trading,34111028947.74,34.111028948
2025-04-01T00:00:00.000Z,Lending Borrows,12884289964.32,12.884289964
2025-04-01T00:00:00.000Z,Lending Deposits,100952167800.42,100.9521678
2025-04-01T00:00:00.000Z,Liquidations,160020963.060001,0.1600209631
2025-04-01T00:00:00.000Z,NFT Sales,121653973.723087,0.1216539737
2025-04-01T00:00:00.000Z,Token Transfers,29345201581.81,29.345201582
2025-05-01T00:00:00.000Z,Bridge Activity,7947432792.51,7.947432793
2025-05-01T00:00:00.000Z,DEX Trading,46531550228.97,46.531550229
2025-05-01T00:00:00.000Z,Lending Borrows,19226383971.67,19.226383972
2025-05-01T00:00:00.000Z,Lending Deposits,146999529870.35,146.99952987
2025-05-01T00:00:00.000Z,Liquidations,8698934.14,0.00869893414
2025-05-01T00:00:00.000Z,NFT Sales,164148269.85303,0.1641482699
2025-05-01T00:00:00.000Z,Token Transfers,33512908131.37,33.512908131
2025-06-01T00:00:00.000Z,Bridge Activity,9233577743.02,9.233577743
2025-06-01T00:00:00.000Z,DEX Trading,40635862068.72,40.635862069
2025-06-01T00:00:00.000Z,Lending Borrows,24267844160.98,24.267844161
2025-06-01T00:00:00.000Z,Lending Deposits,142618270383.35,142.618270383
2025-06-01T00:00:00.000Z,Liquidations,10913546.22,0.01091354622
2025-06-01T00:00:00.000Z,NFT Sales,107036949.763688,0.1070369498
2025-06-01T00:00:00.000Z,Token Transfers,29335017933.03,29.335017933
2025-07-01T00:00:00.000Z,Bridge Activity,9140997483.74,9.140997484
2025-07-01T00:00:00.000Z,DEX Trading,49977021639.6701,49.97702164
2025-07-01T00:00:00.000Z,Lending Borrows,42022998692.61,42.022998693
2025-07-01T00:00:00.000Z,Lending Deposits,145683354251.14,145.683354251
2025-07-01T00:00:00.000Z,Liquidations,10606979.67,0.01060697967
2025-07-01T00:00:00.000Z,NFT Sales,309462813.29896,0.3094628133
2025-07-01T00:00:00.000Z,Token Transfers,36746496041.99,36.746496042
2025-08-01T00:00:00.000Z,Bridge Activity,10391909691.61,10.391909692
2025-08-01T00:00:00.000Z,DEX Trading,77518238637.74,77.518238638
2025-08-01T00:00:00.000Z,Lending Borrows,35109770449,35.109770449
2025-08-01T00:00:00.000Z,Lending Deposits,179049026352.73,179.049026353
2025-08-01T00:00:00.000Z,Liquidations,32262692.98,0.03226269298
2025-08-01T00:00:00.000Z,NFT Sales,367292998.62459,0.3672929986
2025-08-01T00:00:00.000Z,Token Transfers,43077973535.37,43.077973535
